Rank	Word	Count	Frequency
1	the	2371	0.046138
2	and	1530	0.029773
3	a	1388	0.027010
4	of	1208	0.023507
5	to	1194	0.023235
6	I	1002	0.019498
7	in	825	0.016054
8	was	764	0.014867
9	he	566	0.011014
10	that	564	0.010975
11	with	451	0.008776
12	his	449	0.008737
13	you	425	0.008270
14	it	419	0.008153
15	at	385	0.007492
16	had	378	0.007356
17	her	363	0.007064
18	on	360	0.007005
19	me	325	0.006324
20	for	315	0.006130
21	him	273	0.005312
22	she	272	0.005293
23	as	249	0.004845
24	from	241	0.004690
25	said	233	0.004534
26	my	225	0.004378
27	all	211	0.004106
28	out	210	0.004086
29	He	209	0.004067
30	up	193	0.003756
31	Gatsby	188	0.003658
32	an	185	0.003600
33	“I	175	0.003405
34	Tom	173	0.003366
35	were	171	0.003328
36	this	169	0.003289
37	into	167	0.003250
38	The	165	0.003211
39	but	164	0.003191
40	or	160	0.003114
41	there	153	0.002977
42	about	145	0.002822
43	we	144	0.002802
44	Daisy	143	0.002783
45	by	139	0.002705
46	over	137	0.002666
47	be	137	0.002666
48	have	136	0.002646
49	if	128	0.002491
50	one	128	0.002491
51	down	118	0.002296
52	like	117	0.002277
53	is	114	0.002218
54	so	114	0.002218
55	came	108	0.002102
56	back	108	0.002102
57	they	107	0.002082
58	been	106	0.002063
59	man	105	0.002043
60	when	103	0.002004
61	little	100	0.001946
62	any	98	0.001907
63	who	98	0.001907
64	know	96	0.001868
65	It	94	0.001829
66	some	93	0.001810
67	went	91	0.001771
68	house	90	0.001751
69	then	87	0.001693
70	not	86	0.001674
71	before	86	0.001674
72	now	85	0.001654
73	eyes	84	0.001635
74	just	83	0.001615
75	got	83	0.001615
76	She	83	0.001615
77	them	81	0.001576
78	looked	81	0.001576
79	Project	80	0.001557
80	other	80	0.001557
81	didn’t	80	0.001557
82	what	80	0.001557
83	Mr	80	0.001557
84	old	79	0.001537
85	time	79	0.001537
86	no	77	0.001498
87	do	76	0.001479
88	see	76	0.001479
89	away	75	0.001459
90	more	75	0.001459
91	way	75	0.001459
92	don’t	75	0.001459
93	car	73	0.001421
94	which	71	0.001382
95	your	71	0.001382
96	night	71	0.001382
97	get	70	0.001362
98	around	70	0.001362
99	moment	70	0.001362
100	door	68	0.001323
101	Gatsby’s	67	0.001304
102	going	66	0.001284
103	two	66	0.001284
104	are	65	0.001265
105	here	65	0.001265
106	through	65	0.001265
107	after	64	0.001245
108	turned	64	0.001245
109	think	64	0.001245
110	us	64	0.001245
111	made	63	0.001226
112	come	63	0.001226
113	hand	63	0.001226
114	Jordan	63	0.001226
115	go	62	0.001206
116	could	62	0.001206
117	Wilson	61	0.001187
118	too	60	0.001168
119	people	60	0.001168
120	something	60	0.001168
121	never	60	0.001168
122	“You	60	0.001168
123	voice	58	0.001129
124	But	57	0.001109
125	A	56	0.001090
126	want	56	0.001090
127	very	55	0.001070
128	room	55	0.001070
129	Gutenberg™	55	0.001070
130	where	54	0.001051
131	again	54	0.001051
132	work	54	0.001051
133	knew	53	0.001031
134	…	53	0.001031
135	saw	52	0.001012
136	their	52	0.001012
137	face	52	0.001012
138	first	51	0.000992
139	right	50	0.000973
140	would	50	0.000973
141	began	50	0.000973
142	long	50	0.000973
143	only	49	0.000954
144	took	48	0.000934
145	Then	47	0.000915
146	thought	47	0.000915
147	toward	46	0.000895
148	girl	46	0.000895
149	1	46	0.000895
150	because	45	0.000876
151	last	45	0.000876
152	off	45	0.000876
153	told	44	0.000856
154	New	44	0.000856
155	We	44	0.000856
156	while	44	0.000856
157	young	43	0.000837
158	name	43	0.000837
159	day	43	0.000837
160	asked	43	0.000837
161	heard	43	0.000837
162	sport	43	0.000837
163	must	42	0.000817
164	afternoon	42	0.000817
165	light	42	0.000817
166	its	41	0.000798
167	can	40	0.000778
168	men	40	0.000778
169	until	40	0.000778
170	white	40	0.000778
171	His	40	0.000778
172	head	40	0.000778
173	seemed	39	0.000759
174	left	39	0.000759
175	Baker	38	0.000739
176	hour	38	0.000739
177	hands	38	0.000739
178	wasn’t	38	0.000739
179	years	37	0.000720
180	than	37	0.000720
181	When	37	0.000720
182	found	37	0.000720
183	West	37	0.000720
184	even	37	0.000720
185	I’m	36	0.000701
186	much	36	0.000701
187	did	36	0.000701
188	under	35	0.000681
189	say	35	0.000681
190	And	35	0.000681
191	look	35	0.000681
192	upon	35	0.000681
193	“I’m	35	0.000681
194	“What	35	0.000681
195	another	35	0.000681
196	without	35	0.000681
197	You	34	0.000662
198	thing	34	0.000662
199	minute	34	0.000662
200	small	34	0.000662
201	half	34	0.000662
202	looking	34	0.000662
203	always	33	0.000642
204	three	33	0.000642
205	They	33	0.000642
206	though	33	0.000642
207	I’d	33	0.000642
208	against	33	0.000642
209	“Oh	33	0.000642
210	alone	32	0.000623
211	Miss	32	0.000623
212	each	32	0.000623
213	suddenly	32	0.000623
214	sat	32	0.000623
215	works	32	0.000623
216	Egg	31	0.000603
217	There	31	0.000603
218	own	31	0.000603
219	along	31	0.000603
220	front	31	0.000603
221	full	31	0.000603
222	cried	31	0.000603
223	seen	31	0.000603
224	“Well	31	0.000603
225	nothing	30	0.000584
226	Daisy’s	30	0.000584
227	table	30	0.000584
228	tell	30	0.000584
229	five	30	0.000584
230	Gutenberg	29	0.000564
231	life	29	0.000564
232	together	29	0.000564
233	things	29	0.000564
234	new	29	0.000564
235	once	29	0.000564
236	make	29	0.000564
237	next	29	0.000564
238	York	29	0.000564
239	can’t	29	0.000564
240	himself	29	0.000564
241	world	28	0.000545
242	still	28	0.000545
243	stood	28	0.000545
244	“It’s	28	0.000545
245	couldn’t	28	0.000545
246	Mrs	28	0.000545
247	most	27	0.000525
248	In	27	0.000525
249	ever	27	0.000525
250	wanted	27	0.000525
251	take	27	0.000525
252	morning	27	0.000525
253	At	27	0.000525
254	might	27	0.000525
255	called	27	0.000525
256	home	27	0.000525
257	electronic	27	0.000525
258	If	26	0.000506
259	gave	26	0.000506
260	few	26	0.000506
261	every	26	0.000506
262	moved	26	0.000506
263	these	26	0.000506
264	As	26	0.000506
265	inquired	26	0.000506
266	garage	26	0.000506
267	those	25	0.000486
268	------------------------------------------------------------------------	25	0.000486
269	later	25	0.000486
270	air	25	0.000486
271	side	25	0.000486
272	Her	25	0.000486
273	four	25	0.000486
274	our	25	0.000486
275	across	25	0.000486
276	dark	25	0.000486
277	will	24	0.000467
278	great	24	0.000467
279	started	24	0.000467
280	rather	24	0.000467
281	money	24	0.000467
282	between	24	0.000467
283	“It	24	0.000467
284	“No	24	0.000467
