Rank	Word	Count	Frequency
1	the	13876	0.064020
2	of	6675	0.030797
3	and	6070	0.028005
4	to	4592	0.021186
5	a	4552	0.021002
6	in	3974	0.018335
7	that	2883	0.013301
8	his	2464	0.011368
9	it	2115	0.009758
10	I	1846	0.008517
11	with	1708	0.007880
12	is	1704	0.007862
13	was	1629	0.007516
14	as	1608	0.007419
15	he	1539	0.007101
16	all	1433	0.006611
17	for	1426	0.006579
18	this	1298	0.005989
19	at	1239	0.005716
20	by	1165	0.005375
21	not	1108	0.005112
22	from	1075	0.004960
23	but	1065	0.004914
24	him	1046	0.004826
25	be	1040	0.004798
26	on	1019	0.004701
27	so	901	0.004157
28	you	870	0.004014
29	one	863	0.003982
30	or	771	0.003557
31	had	765	0.003529
32	have	763	0.003520
33	whale	703	0.003243
34	were	676	0.003119
35	But	675	0.003114
36	there	649	0.002994
37	The	648	0.002990
38	which	639	0.002948
39	now	629	0.002902
40	me	616	0.002842
41	their	613	0.002828
42	are	608	0.002805
43	they	581	0.002681
44	an	580	0.002676
45	some	576	0.002658
46	my	562	0.002593
47	then	560	0.002584
48	like	552	0.002547
49	when	543	0.002505
50	upon	541	0.002496
51	into	520	0.002399
52	out	515	0.002376
53	more	501	0.002311
54	up	500	0.002307
55	no	480	0.002215
56	them	462	0.002132
57	old	429	0.001979
58	Ahab	424	0.001956
59	man	422	0.001947
60	would	417	0.001924
61	if	417	0.001924
62	been	415	0.001915
63	ye	414	0.001910
64	other	412	0.001901
65	we	402	0.001855
66	over	399	0.001841
67	what	393	0.001813
68	will	382	0.001762
69	these	381	0.001758
70	ship	376	0.001735
71	its	373	0.001721
72	sea	361	0.001666
73	only	357	0.001647
74	down	354	0.001633
75	any	352	0.001624
76	such	338	0.001559
77	And	334	0.001541
78	her	323	0.001490
79	though	317	0.001463
80	time	314	0.001449
81	than	310	0.001430
82	very	309	0.001426
83	who	308	0.001421
84	about	308	0.001421
85	long	306	0.001412
86	said	297	0.001370
87	those	296	0.001366
88	before	295	0.001361
89	still	295	0.001361
90	yet	294	0.001356
91	must	291	0.001343
92	great	291	0.001343
93	has	288	0.001329
94	CHAPTER	284	0.001310
95	seemed	281	0.001296
96	do	280	0.001292
97	most	279	0.001287
98	two	277	0.001278
99	last	274	0.001264
100	head	265	0.001223
101	It	261	0.001204
102	Whale	257	0.001186
103	way	257	0.001186
104	here	250	0.001153
105	your	250	0.001153
106	see	247	0.001140
107	little	247	0.001140
108	again	247	0.001140
109	after	244	0.001126
110	boat	242	0.001117
111	did	242	0.001117
112	may	241	0.001112
113	whales	238	0.001098
114	round	238	0.001098
115	Stubb	231	0.001066
116	three	229	0.001057
117	us	228	0.001052
118	through	226	0.001043
119	thou	223	0.001029
120	men	223	0.001029
121	say	222	0.001024
122	In	219	0.001010
123	every	218	0.001006
124	much	217	0.001001
125	could	215	0.000992
126	being	213	0.000983
127	while	213	0.000983
128	first	211	0.000973
129	same	210	0.000969
130	own	205	0.000946
131	off	205	0.000946
132	our	201	0.000927
133	Queequeg	199	0.000918
134	himself	199	0.000918
