Rank	Word	Count	Frequency
1	the	4446	0.037282
2	and	4423	0.037090
3	to	3525	0.029559
4	I	3295	0.027631
5	of	2325	0.019497
6	a	2301	0.019295
7	he	1568	0.013149
8	you	1553	0.013023
9	her	1507	0.012637
10	in	1467	0.012302
11	his	1382	0.011589
12	that	1141	0.009568
13	was	1122	0.009409
14	it	1120	0.009392
15	she	1084	0.009090
16	me	1050	0.008805
17	my	1033	0.008662
18	not	929	0.007790
19	him	916	0.007681
20	as	901	0.007555
21	for	835	0.007002
22	with	828	0.006943
23	on	786	0.006591
24	at	757	0.006348
25	be	728	0.006105
26	had	681	0.005711
27	is	624	0.005233
28	have	614	0.005149
29	from	492	0.004126
30	but	490	0.004109
31	by	459	0.003849
32	would	442	0.003706
33	Heathcliff	404	0.003388
34	your	391	0.003279
35	or	369	0.003094
36	said	369	0.003094
37	if	368	0.003086
38	were	346	0.002901
39	so	343	0.002876
40	Linton	337	0.002826
41	He	321	0.002692
42	Catherine	321	0.002692
43	an	306	0.002566
44	out	305	0.002558
45	no	298	0.002499
46	this	289	0.002423
47	are	289	0.002423
48	all	286	0.002398
49	up	285	0.002390
50	Mr	284	0.002382
51	when	278	0.002331
52	could	277	0.002323
53	into	272	0.002281
54	one	256	0.002147
55	we	248	0.002080
56	should	244	0.002046
57	The	243	0.002038
58	then	240	0.002013
59	they	237	0.001987
60	them	229	0.001920
61	will	227	0.001904
62	do	227	0.001904
63	did	223	0.001870
64	there	222	0.001862
65	been	221	0.001853
66	more	218	0.001828
67	what	213	0.001786
68	“I	211	0.001769
69	than	202	0.001694
70	shall	193	0.001618
71	must	192	0.001610
72	which	188	0.001576
73	now	185	0.001551
74	us	180	0.001509
75	little	176	0.001476
76	never	175	0.001467
77	any	171	0.001434
78	And	169	0.001417
79	see	169	0.001417
80	down	166	0.001392
81	go	163	0.001367
82	has	162	0.001358
83	master	162	0.001358
84	how	161	0.001350
85	over	160	0.001342
86	its	159	0.001333
87	Hareton	156	0.001308
88	about	155	0.001300
89	She	155	0.001300
90	answered	155	0.001300
91	I’ll	154	0.001291
92	I’m	153	0.001283
93	come	153	0.001283
94	like	152	0.001275
95	some	150	0.001258
96	’	150	0.001258
97	before	149	0.001249
98	after	147	0.001233
99	their	145	0.001216
100	till	144	0.001208
101	only	139	0.001166
102	can	138	0.001157
103	don’t	138	0.001157
104	again	134	0.001124
105	who	133	0.001115
106	too	133	0.001115
107	might	130	0.001090
108	house	129	0.001082
109	other	127	0.001065
110	It	127	0.001065
111	off	125	0.001048
112	very	124	0.001040
113	Mrs	124	0.001040
114	himself	124	0.001040
115	know	122	0.001023
116	Joseph	120	0.001006
117	may	119	0.000998
118	here	119	0.000998
119	own	117	0.000981
120	door	117	0.000981
121	time	117	0.000981
122	thought	117	0.000981
123	being	115	0.000964
124	back	115	0.000964
125	You	114	0.000956
126	eyes	114	0.000956
127	replied	114	0.000956
128	cried	113	0.000948
129	though	112	0.000939
130	myself	111	0.000931
131	Cathy	111	0.000931
132	think	110	0.000922
133	Earnshaw	110	0.000922
134	let	110	0.000922
135	But	109	0.000914
136	tell	108	0.000906
137	Miss	108	0.000906
138	such	106	0.000889
139	our	106	0.000889
140	while	105	0.000880
141	say	105	0.000880
142	asked	105	0.000880
143	make	105	0.000880
144	came	105	0.000880
145	two	104	0.000872
146	nothing	104	0.000872
147	young	104	0.000872
148	Edgar	104	0.000872
149	get	101	0.000847
150	Heights	100	0.000839
151	where	100	0.000839
152	made	100	0.000839
153	last	100	0.000839
154	first	100	0.000839
155	father	100	0.000839
156	take	99	0.000830
157	face	99	0.000830
158	yet	97	0.000813
159	much	96	0.000805
160	long	96	0.000805
161	took	96	0.000805
162	hand	93	0.000780
163	good	92	0.000771
164	still	91	0.000763
165	home	91	0.000763
166	room	91	0.000763
167	look	91	0.000763
168	head	89	0.000746
169	am	88	0.000738
170	went	88	0.000738
171	going	88	0.000738
172	through	87	0.000730
173	Grange	86	0.000721
174	man	86	0.000721
175	love	86	0.000721
176	Ellen	86	0.000721
177	away	85	0.000713
178	because	85	0.000713
179	“And	83	0.000696
180	under	82	0.000688
181	another	82	0.000688
182	day	82	0.000688
183	old	81	0.000679
184	better	80	0.000671
185	night	80	0.000671
186	Project	79	0.000662
187	heard	79	0.000662
188	told	79	0.000662
189	“You	79	0.000662
190	got	79	0.000662
191	put	78	0.000654
192	heart	77	0.000646
193	saw	77	0.000646
194	way	77	0.000646
195	work	77	0.000646
196	I’ve	77	0.000646
197	every	76	0.000637
198	cannot	76	0.000637
199	wish	76	0.000637
200	Nelly	76	0.000637
201	looked	75	0.000629
202	rather	74	0.000621
203	soon	73	0.000612
204	won’t	73	0.000612
205	mind	73	0.000612
206	hear	73	0.000612
207	once	73	0.000612
208	just	72	0.000604
209	place	72	0.000604
210	began	72	0.000604
211	exclaimed	72	0.000604
212	both	71	0.000595
213	left	71	0.000595
214	herself	71	0.000595
